Family Id,No,Config,Status,Price,Liftoff Thrust (kN),Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height (m),Fairing Diameter,Fairing Height
133,13,Proton-K/Briz-M,Retired,,9548,"19,000 kg","2,200 kg",4,0,54.54,4.35 m,13.2 m
134,1,Proton,Retired,,8387,"12,200 kg",0 kg,2,0,39.80,4.15 m,8.5 m
135,1,Cosmos-3,Retired,,1481,"1,250 kg",0 kg,2,0,32.42,2.44 m,5.72 m
135,2,Cosmos-3M,Retired,,1486,"1,500 kg",0 kg,2,0,32.42,2.44 m,5.72 m
135,3,K65M-RB5,Retired,,1486,"1,300 kg",0 kg,2,0,26.00,2.44 m,5.72 m
137,1,Volna,Retired,,618,100 kg,0 kg,3,0,14.20,1.3 m,1.4 m
138,1,Tsyklon-2,Retired,,2650,"2,850 kg",0 kg,2,0,39.65,3.0 m,10.7 m
139,1,Tsyklon-3,Retired,,3032,"4,100 kg",0 kg,3,0,39.27,2.7 m,9.54 m
140,1,Molniya-M /Block 2BL,Retired,,4391,"6,200 kg","2,400 kg",4,4,44.23,2.58 m,7.81 m
140,2,Molniya-M /Block L,Retired,,4391,"6,200 kg","2,400 kg",4,4,44.23,2.58 m,6.74 m
140,3,Molniya-M /Block ML,Retired,,4391,"6,200 kg","2,400 kg",4,4,42.80,2.58 m,8.28 m
140,4,Molniya-M /Block NVL,Retired,,4391,"6,200 kg","2,400 kg",4,4,44.63,2.58 m,7.14 m
140,5,Molniya-M /Block SO-L,Retired,,4391,"6,200 kg","2,400 kg",4,4,41.26,2.58 m,6.74 m
140,6,Molniya-M /Block VL,Retired,,4391,"6,200 kg","2,400 kg",4,4,42.80,2.58 m,8.28 m
141,1,Soyuz 2.1a,Active,$17.42 million,4550,"7,500 kg",0 kg,3,4,51.38,4.11 m,15.59 m
141,2,Soyuz 2.1a/Fregat,Active,$23.0 million,4550,"7,020 kg","2,810 kg",4,4,46.94,4.11 m,10.2 m
141,3,Soyuz 2.1a/Fregat-M,Active,$23.0 million,4550,"7,020 kg","2,810 kg",4,4,46.94,4.11 m,10.2 m
141,4,Soyuz 2.1a/Volga,Active,$23.0 million,4550,"7,020 kg","2,000 kg",4,4,46.94,4.11 m,10.2 m
141,5,Soyuz ST-A/Fregat,Active,$30.0 million,4317,"8,500 kg","2,810 kg",4,4,46.94,4.11 m,11.43 m
141,6,Soyuz ST-A/Fregat-M,Active,$30.0 million,4317,"8,500 kg","3,000 kg",4,4,46.94,4.11 m,11.43 m
142,1,Soyuz 2.1b,Active,$20.0 million,4550,"8,020 kg",0 kg,3,4,44.08,4.11 m,8.36 m
